her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session,session_id
Samia Abbou,Courant Démocratique,Tête de liste,Bloc Démocrate,2016-10-20,NA,NA,NA,NA,Diplôme d’études approfondies de la Faculté de Droit (2010),2010,A rejoint le parti du Congrès Pour la République (2006 - 2013),Quatrième session parlementaire ,1
Badreddine Abdelkefi,Mouvement Ennahdha,3ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme en sciences de la faculté des sciences de Sfax (1981),1981,Représentant des étudiants du sud durant le sommet du mouvement islamique en avril 1981,Quatrième session parlementaire ,1
Mohamed Abdellaoui,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2017-02-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Abir Abdelli,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,"Baccalauréat en économie gestion au lycée de Regueb (1997) Maîtrise en sciences de gestion de la Faculté de droit et des sciences politiques de Sousse (2002)  Diplôme d'Etudes Supérieures Spécialisées en sciences informatiques appliquées à la gestion à la Cité Technologique des Communications, SUPCOM, El Ghazela Tunis (2004)",1997 2002 2004,"Responsable commercial à BFTM (2004 - 2007) Responsable revendeur au journal ""Les Annonces"" (2007) Gestionnaire ressources humaines à Adecco Tunisie (2008 - 2012) Gestionnaire ressources humaines à kromberg & schubert (2012 - 2013) Responsable ressources humaines à Carthage Créances (2014)",Quatrième session parlementaire ,1
Asma Abou Hana,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Maitrise en Droit,"NA",,Quatrième session parlementaire ,1
Mohamed Anouar Adhar,Afek Tounes,Tête de liste,Afek Tounes et l'appel des tunisiens à l'étranger,2014-12-20,2018-03-20,Allégeance à la Patrie,2018-04-20,NA,Diplôme en génie civile de l'Ecole Polytechnique de Lviv de l'Ex-Union Soviétique (1985),1985,A rejoint le parti Afek Tounes en 2014,Quatrième session parlementaire ,1
Oussama Al Sghaier,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,"Licence en sciences politiques et relations diplomatiques internationales à l'université ""La Sapienza"" de Rome","NA",Elu à l'Assemblée Nationale Constituante sur la liste du mouvement Ennahdha de la circonscription de l'Italie (2011 - 2014) Responsable de l'information du conseil de la choura du mouvement Ennahdha,Quatrième session parlementaire ,1
Lotfi Ali,Parti l'initiative,4623 voix,Bloc Social-Démocrate,2014-12-20,2016-07-20,Mouvement Nidaa Tounes,2016-07-20,NA,,,,Quatrième session parlementaire ,1
Aymen Aloui,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Souhail Alouini,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Baccalauréat scientifique du collège bruxellois Jean XXIII (1976) Candidature en sciences médicales à l'Université catholique de Louvain (1976 - 1979) Doctorat en médecine de l'Université libre de Bruxelles (1982),1976 1976 1982,"Chef de service de chirurgie pédiatrique à l'hôpital militaire Zayed, Abu Dhabi (1997 - 2011) Chef de service de chirurgie pédiatrique à l'hôpital militaire Zayed, Abu Dhabi (1997 - 2011) Chirurgien pédiatre au Centre médical Ibn Sina depuis 2011",Quatrième session parlementaire ,1
Nizar Amami,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
